,Weekly Decay,Daily Decay,Key,Feature Set,MSE Nov,MA Nov,MA (Tier) Nov,MSE Dec,MA Dec,MA (Tier) Dec,Eval MSE,Eval MA,Eval MA (Tier)
11,0.7071067811865476,0,12,['Positivity_Rate_7_1dayago'],0.00011480587225486466,0.6904761904761906,0.680952380952381,0.00018851834943546314,0.6267281105990784,0.5161290322580645,0.00015226631147779177,0.6580796252927402,0.5971896955503513
12,0.7071067811865476,0,13,"['Positivity_Rate_7_1dayago', 'Pressure_7_Adj100k_1dayago', 'Internal_Movement_7_Adj100k_1dayago']",0.0003812595688972663,0.4142857142857143,0.457142857142857,0.00021852174998512395,0.5714285714285714,0.4838709677419355,0.00029855674289273496,0.4941451990632318,0.47072599531615916
13,0.7071067811865476,0,14,"['Positivity_Rate_7_1dayago', 'Diff Pressure_7_Adj100k_1dayago', 'Diff Internal_Movement_7_Adj100k_1dayago']",0.000287763153215041,0.5095238095238095,0.4904761904761904,0.0004479329084070429,0.4838709677419355,0.46543778801843316,0.000369160897656878,0.4964871194379391,0.47775175644028095
14,0.7071067811865476,0,15,"['Positivity_Rate_7_1dayago', 'Excess Pressure_7_Adj100k_1dayago', 'Excess Internal_Movement_7_Adj100k_1dayago']",0.0002591318145805506,0.5761904761904761,0.6047619047619047,0.00017827272780039045,0.663594470046083,0.608294930875576,0.00021803949179063315,0.6206088992974239,0.6065573770491803
15,0.7071067811865476,0,16,"['Positivity_Rate_7_1dayago', 'Diff Internal_Movement_7_Adj100k_1dayago']",0.00015606802883011764,0.6904761904761906,0.6952380952380953,0.0002956919937162702,0.5898617511520738,0.488479262672811,0.00022702447000176894,0.6393442622950821,0.5901639344262295
16,0.7071067811865476,0,17,"['Positivity_Rate_7_1dayago', 'Excess Internal_Movement_7_Adj100k_1dayago']",0.00013406671754288783,0.6380952380952382,0.6285714285714287,0.00014287222331218436,0.7096774193548387,0.6267281105990784,0.0001385416467043336,0.674473067915691,0.6276346604215458
17,0.7071067811865476,0,18,"['Positivity_Rate_7_1dayago', 'Diff Internal_Movement_7_Adj100k_1dayago', 'New_Tests_7_Adj100k_1dayago']",0.0001562517913002803,0.738095238095238,0.738095238095238,0.00027175884082261816,0.6728110599078342,0.6313364055299538,0.00021495209515589464,0.7049180327868853,0.6838407494145198
18,0.7071067811865476,0,19,"['Positivity_Rate_7_1dayago', 'Excess Internal_Movement_7_Adj100k_1dayago', 'New_Tests_7_Adj100k_1dayago']",0.00016490778694215816,0.5761904761904761,0.5904761904761904,0.00020890117678670577,0.695852534562212,0.5806451612903226,0.00018726508342053482,0.6370023419203746,0.5854800936768149
19,0.7071067811865476,0,20,"['Positivity_Rate_7_1dayago', 'Pressure_7_Adj100k_1dayago', 'New_Tests_7_Adj100k_1dayago']",0.00024118730361607599,0.41428571428571426,0.38571428571428573,0.00012906847900008195,0.7096774193548387,0.5990783410138248,0.00018420888454893147,0.5644028103044497,0.4941451990632318
20,0.7071067811865476,0,21,"['Positivity_Rate_7_1dayago', 'Diff Pressure_7_Adj100k_1dayago', 'New_Tests_7_Adj100k_1dayago']",0.0002089853771695321,0.5619047619047619,0.5904761904761905,0.00024351284959056715,0.6036866359447004,0.5944700460829493,0.0002265321254490745,0.5831381733021077,0.5925058548009366
21,0.7071067811865476,0,22,"['Positivity_Rate_7_1dayago', 'Excess Pressure_7_Adj100k_1dayago', 'New_Tests_7_Adj100k_1dayago']",0.00014674174264781153,0.6095238095238095,0.6238095238095239,0.0002393281683739337,0.6682027649769585,0.5483870967741934,0.00019379386063977526,0.639344262295082,0.585480093676815
22,0.7071067811865476,0,23,"['Pressure_7_Adj100k_1dayago', 'Internal_Movement_7_Adj100k_1dayago', 'New_Tests_7_Adj100k_1dayago']",0.0009844709939084847,0.46666666666666673,0.44761904761904764,0.00045589576342099444,0.46082949308755755,0.38248847926267276,0.0007158507948082848,0.46370023419203743,0.414519906323185
23,0.7071067811865476,0,24,"['Pressure_7_Adj100k_1dayago', 'Internal_Movement_7_Adj100k_1dayago']",0.0008905004206003488,0.5476190476190477,0.5,0.00028048233918014944,0.6175115207373273,0.576036866359447,0.0005804912316818868,0.5831381733021078,0.5386416861826697
